tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,name,retweet_count,text,tweet_created,tweet_location,user_timezone
Tr_tweet_659,0.0,1.0,Lost Luggage,1.0,United,tiffy_mac,0.0,@united thanks United I understand that. But he would actually like his own bag back! What have you done with it?! He also wants the money..,2/23/2015 23:13,"Brighton, UK
",nan
Tr_tweet_904,1.0,0.6534,nan,,United,teamcrafty,0.0,@united thank you,2/23/2015 13:24,Grand Rapids,Quito
Tr_tweet_905,0.0,1.0,Late Flight,0.7065,United,tbird12lv,0.0,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,2/23/2015 13:23,Colorado,Mountain Time (US & Canada)
Tr_tweet_1513,0.0,1.0,Lost Luggage,1.0,United,liveitup09,1.0,@united yes I have &amp,nan,2/22/2015 14:53,nan
Tr_tweet_1029,0.0,1.0,Customer Service Issue,0.6702,United,JMS2802,0.0,@united - SERIOUSLY it's 2015?!?!  NO WiFi on a 5hr flight from CLE-SFO #1589.  You're the ONLY airline without WiFi...,2/23/2015 9:59,nan,nan
Tr_tweet_2302,0.0,1.0,Cancelled Flight,1.0,United,DNLee5,0.0,"@united my flight out of BGM Cancelled Flightled last night, I get a hotel voucher, but had to pay for a cab back. Worse cab experience ever",2/21/2015 2:21,"New York, US; Tanzania, Africa",Central Time (US & Canada)
Tr_tweet_3245,0.0,1.0,Bad Flight,0.3365,United,Atrain_8,3.0,"@united you can't claim ""weather"" with your hardworking crew pulling seats out of a plane! Do the right thing. But we both know you won't",2/18/2015 19:10,nan,nan
Tr_tweet_297,1.0,0.6482,nan,,Virgin America,SuuperG,0.0,@VirginAmerica Thanks!,2/19/2015 18:57,Wandering So-Cal-ian,Pacific Time (US & Canada)
Tr_tweet_347,1.0,0.6871,nan,,Virgin America,quackling,0.0,@VirginAmerica that doesn't look to fat to me! It looks yummy!,2/19/2015 4:52,"Birmingham, Michigan",nan
Tr_tweet_883,0.0,1.0,Customer Service Issue,0.6526,United,ryanaround,0.0,@united someone needs to DM me and resolve this correctly. Extremely disappointed with the service I received. Terrible management.,2/23/2015 14:13,San Francisco,Pacific Time (US & Canada)
Tr_tweet_1292,0.0,1.0,Customer Service Issue,1.0,United,kyles32,0.0,@united customer service is the WORST. hanging up on customers intentionally after one hour on hold.,2/22/2015 21:03,nan,nan
Tr_tweet_457,0.0,1.0,Cancelled Flight,0.703,United,CoralReefer420,0.0,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,2/24/2015 11:39,"Bay Area, California ",Alaska
Tr_tweet_688,1.0,1.0,nan,,United,The_Playmaker20,0.0,@united we just flew with United from AUS (Austin Bergstrom) to Cancun Intl. Best flight ever! The 737's are not too big... Not too small!,2/23/2015 21:38,nan,nan
Tr_tweet_2253,0.0,0.68,Bad Flight,0.68,United,NadeemdeVree,0.0,@united you get a 2nd chance today as I fly to A'dam. Let's see if you can redeem yourself after that last horrendous trip to the states.,2/21/2015 7:48,nan,Greenland
Tr_tweet_511,0.0,0.6791,Damaged Luggage,0.6791,United,Joestudent11,0.0,@united. ..I received on other flights. #united  truly breaks guitars. #unitedbreaksguitars #wantmymoneyback,2/24/2015 9:34,"Jerusalem, Israel",Jerusalem
Tr_tweet_1748,0.0,1.0,Customer Service Issue,0.6308,United,KapuriaMd,0.0,@united I have been given a connection with 2 overnight layovers. No vouchers. Last connection not even confirmed.,2/22/2015 7:19,nan,nan
Tr_tweet_204,1.0,1.0,nan,,Virgin America,jennifer_caron,0.0,@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l,2/21/2015 10:58,"Los Angeles, CA",Pacific Time (US & Canada)
Tr_tweet_2724,1.0,0.6711,nan,,United,Easy_E_,0.0,"@united Hi, flight 1051. If I try and book a new one way,  flight departure shows up as 3:55pm which seems accurate.",2/20/2015 7:32,Tri State NY area...,Eastern Time (US & Canada)
Tr_tweet_2962,1.0,0.6565,nan,,United,SonyaSloanMD,0.0,“@united: @SonyaSloanMD Happy to have had you on board. Please share details here: http://t.co/2TrgEMteBZ ^KP” Done!,2/19/2015 15:42,"Houston, TX, USA",Central Time (US & Canada)
Tr_tweet_1182,0.0,0.7114,Can't Tell,0.3632,United,cfacekillah,0.0,@united you need a bag bouncer. Get it together,2/23/2015 4:59,nan,nan
Tr_tweet_2158,0.0,1.0,Late Flight,0.6402,United,c4pyro,0.0,@united 4 of us are stranded   And flying from New Orleans to Huston tonight and we will be stuck there for two days. Rather fly than wait.,2/21/2015 12:30,nan,nan
Tr_tweet_183,1.0,1.0,nan,,Virgin America,DailyBillboard,0.0,@VirginAmerica Keep up the great work :),2/21/2015 13:52,"Los Angeles, California",Pacific Time (US & Canada)
Tr_tweet_2427,0.0,1.0,Can't Tell,0.6742,United,1234567890_,1.0,@united go bankrupt again and transfer all of your assets to $LUV. That would be great.,2/20/2015 17:52,"Boulder, CO | Los Angeles, CA",Arizona
Tr_tweet_1179,0.0,1.0,Can't Tell,0.3456,United,artistanxiety,0.0,@united I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly @United again.,2/23/2015 5:10,Punk is the preacher.,Arizona
Tr_tweet_1024,0.0,1.0,Late Flight,1.0,United,chefpaulcia,0.0,@united u would not be able to rebook me to get home any sooner than a now 2hr delayed flight.  #linesforever #customerservice #fail #again,2/23/2015 10:04,nan,Central Time (US & Canada)
Tr_tweet_2930,0.0,1.0,Customer Service Issue,0.6848,United,pvb29,0.0,@united I am now following you and see that I am not the only one experiencing and noticing a substantial downgrade in service post merger,2/19/2015 16:43,nan,nan
Tr_tweet_3110,0.0,1.0,Cancelled Flight,0.3626,United,alex_nieves,0.0,@united the Premier desk was able to rebook me with our friends at @AmericanAir. Only problem is now I have to pay for a checked bag :/,2/19/2015 7:35,Connecticut,Quito
Tr_tweet_2472,1.0,1.0,nan,,United,Mimsw,0.0,@united Gate Agent Alavera is amazing,2/20/2015 15:58,"Boulder, CO",Mountain Time (US & Canada)
Tr_tweet_1678,0.0,1.0,Cancelled Flight,0.6421,United,Eivind_G,0.0,@united The so below skilled staff and inadequate system just deleted my return from Houston to Norway. Shoulder shrugging is all you do..,2/22/2015 9:51,"Stavanger, Norway",nan
Tr_tweet_776,1.0,1.0,nan,,United,thetonyblank,0.0,"@united despite shaky connections, looks like I'll get home tonight. Great job, @united - was touch and go for a while..",2/23/2015 18:41,"Denver, CO",Eastern Time (US & Canada)
Tr_tweet_2576,0.0,0.7087,Can't Tell,0.3707,United,StartupReport,3.0,@united kind of unnerving to watch the guy deicing your plane text on his phone the whole time http://t.co/QdXfT9qqT9,2/20/2015 11:42,Portland,Pacific Time (US & Canada)
Tr_tweet_540,1.0,1.0,nan,,United,cehertz,0.0,@united for the record- Rozana at Newark was lovely and helpful. #choosekind,2/24/2015 8:29,btv,nan
Tr_tweet_2134,0.0,1.0,Can't Tell,0.65,United,pongchmp,1.0,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain",2/21/2015 13:27,nan,Eastern Time (US & Canada)
Tr_tweet_343,1.0,1.0,nan,,Virgin America,heatherbeckel,0.0,@VirginAmerica Just bought tix for ATX - Dallas route - thanks for adding that! Love yr airline &amp,nan,2/19/2015 7:38,ATX
Tr_tweet_37,1.0,0.6639,nan,,Virgin America,jamesferrandini,0.0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2/23/2015 17:32,nan,nan
Tr_tweet_1908,0.0,1.0,Customer Service Issue,0.6735,United,21stCenturyMom,0.0,"@United - routing a person from Houston to Newark, NJ  and then to SFO is not acceptable.",2/21/2015 21:29,nan,Pacific Time (US & Canada)
Tr_tweet_2951,0.0,1.0,Lost Luggage,1.0,United,skyjumper77,0.0,@united my fingers are crossed that they are more capable of getting baggage from point A-&gt,nan,2/19/2015 16:04,nan
Tr_tweet_1841,0.0,0.6525,Late Flight,0.3475,United,victor_haydin,0.0,@united it is too Late Flight for reFlight Booking Problems now - it is morning already and I no longer need a hotel room,2/22/2015 3:40,nan,Kyiv
Tr_tweet_2134,0.0,1.0,Can't Tell,0.65,United,pongchmp,1.0,"@united ok so what is being done about my experience? My family had a terrible experience for $1,200. It's kind of like being robbed.Explain",2/21/2015 13:27,nan,Eastern Time (US & Canada)
Tr_tweet_1960,1.0,0.3656,nan,0.0,United,c4pyro,0.0,@united so is that two seats avail so far for us.,2/21/2015 19:20,nan,nan
Tr_tweet_521,1.0,0.6421,nan,0.0,United,discobiscuit63,0.0,@united I flew United last month and the experience was AWESOME!,2/24/2015 9:16,nan,Central Time (US & Canada)
Tr_tweet_1214,1.0,1.0,nan,,United,domdelfino,0.0,@united thanks for the upgrade today great way to start my week! Cc: @CiscoJimFrench @cobedien,2/23/2015 3:05,DOM-ination,Quito
Tr_tweet_2787,0.0,1.0,Customer Service Issue,0.6808,United,newyorkwool,0.0,@united they have access to the dial that makes it faster do they?,2/20/2015 0:59,Birkenhead upon Hudson,Eastern Time (US & Canada)
Tr_tweet_905,0.0,1.0,Late Flight,0.7065,United,tbird12lv,0.0,@united by the time I finally get to Dallas I could have driven with less frustration and cheaper.,2/23/2015 13:23,Colorado,Mountain Time (US & Canada)
Tr_tweet_926,0.0,1.0,Can't Tell,0.3513,United,segallsays,0.0,@united That's real dedication &amp,"[29.7420124, -95.5606921]",2/23/2015 12:56,"Houston, TX"
Tr_tweet_2562,0.0,1.0,Can't Tell,1.0,United,PaintboxGirl,0.0,"@united If a business decision is made that inconveniences and possibly causes lost customers, is it a good business decision? #Cranky",2/20/2015 12:33,New York State,Central Time (US & Canada)
Tr_tweet_2314,0.0,1.0,Customer Service Issue,1.0,United,alexreznik,0.0,@united bad customer service  to NYC a few weeks ago. Thinking of moving on,2/20/2015 23:28,Email: Alex@ditmasla.com,Pacific Time (US & Canada)
Tr_tweet_1797,0.0,1.0,Cancelled Flight,0.6497,United,mahrruk,0.0,"@united I would understand if weather was the issue, but bc of airline maintenance I had to sleep on an airport floor and lose an entire day",2/22/2015 5:59,Rochester,Eastern Time (US & Canada)
Tr_tweet_622,0.0,1.0,Lost Luggage,1.0,United,jasonpblakey,0.0,"@united ok. To top things off, you've lost my luggage. Could you get ANY worse??? #UnitedAirlines",2/24/2015 3:37,nan,London
Tr_tweet_1070,1.0,1.0,nan,,United,D_WaYnE_01,0.0,@united thank you!,2/23/2015 9:10,nan,nan
Tr_tweet_653,1.0,1.0,nan,,United,raulcordenillo,0.0,@united Definitely a compliment! I really thought my bag was lost after it was sent on to another airport. In the end I am a happy customer,2/23/2015 23:42,"Stockholm, Sweden ",Stockholm
Tr_tweet_2798,1.0,1.0,nan,,United,Kimberlinho,0.0,@united alright thank you. Much appreciated.,2/19/2015 23:34,nan,nan
Tr_tweet_3097,0.0,1.0,Customer Service Issue,1.0,United,MissMcB76,0.0,@united Over charged me one way for baggage.find out others leaving Pittsburgh with same equipment weren't charged Just hung up on me!!,2/19/2015 8:16,PA,nan
Tr_tweet_931,0.0,1.0,Flight Booking Problems,1.0,United,GalbraithPeter,0.0,@united booked flights for 2 for $779. Was charged $389.50 twice. Means I can't redeem CC points properly. Would have gone elsewhere.,2/23/2015 12:46,"Kingston, Ontario",Central Time (US & Canada)
Tr_tweet_549,1.0,1.0,nan,,United,jakepoznak,0.0,@united despite my bag not making it to Newark good informative email tracking updates help!,2/24/2015 8:04,nan,Eastern Time (US & Canada)
Tr_tweet_1285,1.0,0.6703,nan,0.0,United,sdpurv,0.0,@united Worked like a charm. Bag was waiting on the carousel when we got to baggage claim. #welldone #goodflight #friendlysky,2/22/2015 21:10,Canada,Mountain Time (US & Canada)
Tr_tweet_2556,1.0,1.0,nan,,United,dekt,0.0,@united thank you.. Appreciate the response,2/20/2015 12:44,San Francisco ,Pacific Time (US & Canada)
Tr_tweet_2253,0.0,0.68,Bad Flight,0.68,United,NadeemdeVree,0.0,@united you get a 2nd chance today as I fly to A'dam. Let's see if you can redeem yourself after that last horrendous trip to the states.,2/21/2015 7:48,nan,Greenland
Tr_tweet_1320,0.0,1.0,Lost Luggage,1.0,United,Nic_Thoman23,0.0,@united compensate us for new clothes bet you won't,2/22/2015 20:25,GLP,Eastern Time (US & Canada)
Tr_tweet_1908,0.0,1.0,Customer Service Issue,0.6735,United,21stCenturyMom,0.0,"@United - routing a person from Houston to Newark, NJ  and then to SFO is not acceptable.",2/21/2015 21:29,nan,Pacific Time (US & Canada)
Tr_tweet_910,0.0,1.0,Lost Luggage,1.0,United,PreyingMantis02,1.0,@united how can you not put my bag on plane to Seattle. Flight 1212. Waiting  in line to talk to someone about my bag. Status should matter.,2/23/2015 13:18,nan,nan
Tr_tweet_985,1.0,0.7,nan,,United,franknoc,0.0,@united ok thx!,2/23/2015 11:03,nan,Arizona
Tr_tweet_666,0.0,1.0,Customer Service Issue,0.6833,United,fairplay500,0.0,@united Outbound 2 bags 70 lbs bags Returning home 1 bag 50 lbs. What is your logic? And WHY? Am I writing to a Machine? Human HELP required,2/23/2015 22:31,Huntsville AL USA,Central Time (US & Canada)
Tr_tweet_37,1.0,0.6639,nan,,Virgin America,jamesferrandini,0.0,"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr",2/23/2015 17:32,nan,nan
Tr_tweet_2403,1.0,1.0,nan,,United,christinerimay,0.0,@united Bag was finally delivered and intact. Thanks for your assistance.,2/20/2015 18:37,Someplace saving something,Eastern Time (US & Canada)
Tr_tweet_909,1.0,1.0,nan,,United,herma48852,0.0,@united Pleased to be a Premier Platinum,2/23/2015 13:20,nan,nan
Tr_tweet_410,1.0,0.6559,nan,,Virgin America,KallysAlbertSr,0.0,@VirginAmerica That's classy.,2/17/2015 19:47,USA,nan
Tr_tweet_27,0.0,1.0,Flight Booking Problems,1.0,Virgin America,jordanpichler,0.0,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",2/23/2015 22:52,nan,Vienna
Tr_tweet_3064,1.0,0.6544,nan,,United,BTMarleyCoffee,0.0,@united that would be great,2/19/2015 9:52,Denver Colorado,Mountain Time (US & Canada)
Tr_tweet_1835,0.0,1.0,Cancelled Flight,0.6665,United,SagiRoi,0.0,"@united 2100$ ticket,12h biz trvl,no wifi.Missed con flt,next one#24h,missed meeting,7$ food voucher,hotel chkout#12,flt#5,no wifi#hotel",2/22/2015 4:19,nan,nan
Tr_tweet_2759,1.0,0.6576,nan,,United,desiree_d_h,0.0,@united #FirstClass to #London on my way to #LondonFashionWeek #LFW15 👠🇬🇧👠🇬🇧👠🇬🇧,2/20/2015 5:07,houston paris nyc ,Central Time (US & Canada)
Tr_tweet_598,1.0,0.6632,nan,0.0,United,BouleChitte,0.0,@united private jet would have been cool! Do does not work. I'll try again,2/24/2015 5:32,nan,nan
Tr_tweet_12,1.0,1.0,nan,,Virgin America,sjespers,0.0,@VirginAmerica Thanks!,2/24/2015 10:15,"San Francisco, CA",Pacific Time (US & Canada)
Tr_tweet_2999,0.0,1.0,Can't Tell,0.6682,United,AgrippaInTheAir,0.0,"@united Club DEN, East or West, both are disgusting. http://t.co/XijYrPsLZK",2/19/2015 13:43,nan,nan
Tr_tweet_1459,1.0,1.0,nan,,United,JetSetterJD,0.0,"@united thanks, it was my first time in a United lounge and felt welcomed.",2/22/2015 15:54,nan,Pacific Time (US & Canada)
Tr_tweet_492,0.0,1.0,Flight Attendant Complaints,0.3732,United,OohLaLa09,1.0,"@united yes, we've been with the agents for the last 50 minutes. One of the agents have been very rude, but thankfully Ladan has been nice.",2/24/2015 10:16,DC,Eastern Time (US & Canada)
Tr_tweet_757,1.0,0.6702,nan,,United,family6travels,0.0,@united Made the upgrade list. Will fly 1st tomorrow (for 40 min) for the first time ever! 🙌 #StatusMatchPaidOff http://t.co/ATfRKp6goY,2/23/2015 19:13,nan,nan
Tr_tweet_645,0.0,1.0,Customer Service Issue,1.0,United,sothenbethsaid,1.0,"@united has not responded to my various requests for contact numbers, does anyone know the UK customer service number for #UnitedAirlines",2/24/2015 1:22,Nottingham,London
Tr_tweet_1866,0.0,1.0,Customer Service Issue,1.0,United,Whosgunz,0.0,@united thanks for nothing. Really?!? 60 minute wait times when I've had to call back 4x. That's 240minute wait times.,2/22/2015 0:48,nan,nan
Tr_tweet_944,1.0,0.6627,nan,0.0,United,HeyAileen,0.0,@united thanks. Just a program comment,nan,2/23/2015 12:25,Oakland by way of Chicago
Tr_tweet_719,0.0,1.0,Late Flight,1.0,United,MelanieSpring,0.0,@united can you ask your guys with flight 1146 to BWI to wait for us to get off a delayed flight from San Diego? Pretty please?,2/23/2015 20:36,"Washington, DC",Eastern Time (US & Canada)
Tr_tweet_1942,0.0,1.0,Late Flight,0.6783,United,Chunkingtonchad,0.0,"@united sitting in Denver airport waiting for a plane to be refueled. For an hour and a half! Hurry the fuck up United, you fucking retards",2/21/2015 19:39,nan,nan
Tr_tweet_130,0.0,0.6543,Flight Attendant Complaints,0.3562,Virgin America,MOCBlogger,0.0,@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame,2/22/2015 14:03,San Diego,Alaska
Tr_tweet_1988,0.0,0.3603,Late Flight,0.3603,United,c4pyro,0.0,@united all 4 of us are on standby in Houston tomorrow for flights to Calgary. If you could get us on one or two of those that would help,2/21/2015 18:23,nan,nan
Tr_tweet_1179,0.0,1.0,Can't Tell,0.3456,United,artistanxiety,0.0,@united I need assistance. Due to your incompetence I need to reschedule a connection. I will NEVER fly @United again.,2/23/2015 5:10,Punk is the preacher.,Arizona
Tr_tweet_3109,1.0,0.6669,nan,0.0,United,BurgerFreshh,0.0,@united Keep the flights cheap and early/on time and you are good. Flew @AmericanAir  and Cancelled Flightled my flight 4 times last month. United&gt,nan,2/19/2015 7:35,"Houston, Tx & Old Bridge, NJ "
Tr_tweet_943,1.0,0.643,nan,0.0,United,jbuhl35,0.0,@united flight 1491...plane from SFO to DEN is basically on time.,2/23/2015 12:26,"Washington, DC",Atlantic Time (Canada)
Tr_tweet_3278,1.0,1.0,nan,,United,RobandMeg,0.0,"@united we had a wonderful flight attendant named Leah that was with us from lga to den, then den to anchorage!",2/18/2015 17:07,"Staten Island, NY",Eastern Time (US & Canada)
Tr_tweet_1346,0.0,1.0,Flight Attendant Complaints,0.3441,United,DRVerges,0.0,@united  Otis in the baggage claim by Bay #8. not at all happy but not nearly as pissed.,2/22/2015 19:48,Chicago,Central Time (US & Canada)
Tr_tweet_2699,0.0,0.6875,Late Flight,0.6875,United,josephpwilson,0.0,.@united Nope - had to rebook through Houston so I could get to Amarillo before 11pm. Stuck in SFO for four hours.,2/20/2015 8:05,"San Francisco, CA",nan
Tr_tweet_2785,1.0,1.0,nan,,United,dan_roam,0.0,"Thank you United! “@united: @dan_roam That's a beautiful place to stay a day longer. Have you been re-booked? If not, let me know. ^MN”",2/20/2015 1:25,nan,nan
Tr_tweet_3075,1.0,1.0,nan,,United,DeltaBravo33,0.0,@united Yes ! :D (Y) From @therealaviation on Instagram :),2/19/2015 9:28,France,nan
Tr_tweet_1230,1.0,1.0,nan,,United,Veronique956,0.0,@united the staff was rather efficient and got us solutions just freaked me out a little being in limbo in the air.,2/23/2015 0:54,"Brownsville, Tx",Eastern Time (US & Canada)
Tr_tweet_2380,1.0,1.0,nan,,United,lisahsamuel,0.0,@united Thank you so much for your help with my birthday trip! Tickets are confirmed! :-),2/20/2015 19:16,"Bellingham, WA",Pacific Time (US & Canada)
